"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2021","1.3702","1.3672","1.3761","1.3451","","0.21%"
"12/01/2020","1.3673","1.3325","1.3687","1.3134","","2.64%"
"11/01/2020","1.3321","1.2946","1.3399","1.2853","","2.94%"
"10/01/2020","1.2941","1.2919","1.3178","1.2818","","0.19%"
"09/01/2020","1.2916","1.3367","1.3484","1.2674","","-3.39%"
"08/01/2020","1.3369","1.3082","1.3396","1.2981","","2.15%"
"07/01/2020","1.3088","1.2401","1.3171","1.2358","","5.56%"
"06/01/2020","1.2399","1.2339","1.2814","1.2251","","0.45%"
"05/01/2020","1.2344","1.2599","1.2602","1.2075","","-1.97%"
"04/01/2020","1.2592","1.2429","1.2648","1.2164","","1.40%"
"03/01/2020","1.2418","1.2800","1.3201","1.1409","","-3.14%"
"02/01/2020","1.2820","1.3217","1.3217","1.2725","","-2.87%"
"01/01/2020","1.3199","1.3261","1.3276","1.2953","","-0.45%"
"12/01/2019","1.3259","1.2917","1.3516","1.2895","","2.52%"
"11/01/2019","1.2933","1.2940","1.2986","1.2768","","-0.05%"
"10/01/2019","1.2940","1.2287","1.3013","1.2194","","5.31%"
"09/01/2019","1.2287","1.2149","1.2583","1.1958","","1.08%"
"08/01/2019","1.2156","1.2155","1.2310","1.2014","","-0.01%"
"07/01/2019","1.2157","1.2695","1.2708","1.2119","","-4.22%"
"06/01/2019","1.2693","1.2627","1.2785","1.2506","","0.49%"
"05/01/2019","1.2631","1.3033","1.3178","1.2558","","-3.07%"
"04/01/2019","1.3031","1.3038","1.3197","1.2865","","0.00%"
"03/01/2019","1.3031","1.3262","1.3384","1.2948","","-1.73%"
"02/01/2019","1.3261","1.3107","1.3350","1.2772","","1.23%"
"01/01/2019","1.3100","1.2761","1.3218","1.2438","","2.69%"
"12/01/2018","1.2757","1.2768","1.2841","1.2477","","0.05%"
"11/01/2018","1.2751","1.2769","1.3176","1.2724","","-0.11%"
"10/01/2018","1.2765","1.3032","1.3260","1.2695","","-2.02%"
"09/01/2018","1.3028","1.2972","1.3299","1.2785","","0.52%"
"08/01/2018","1.2961","1.3127","1.3146","1.2661","","-1.24%"
"07/01/2018","1.3124","1.3182","1.3363","1.2957","","-0.63%"
"06/01/2018","1.3207","1.3300","1.3473","1.3049","","-0.68%"
"05/01/2018","1.3298","1.3761","1.3774","1.3204","","-3.42%"
"04/01/2018","1.3769","1.4025","1.4378","1.3712","","-1.76%"
"03/01/2018","1.4015","1.3762","1.4246","1.3712","","1.85%"
"02/01/2018","1.3760","1.4193","1.4279","1.3757","","-3.03%"
"01/01/2018","1.4190","1.3514","1.4346","1.3457","","5.02%"
